,date,open,high,low,close,adj close,volume
0,2025-11-20,91460.79,92899.34,91239.95,91772.41,91772.41,81205223424
1,2025-11-19,92946.16,92946.16,88526.83,91465.99,91465.99,80350354656
2,2025-11-18,92094.53,93745.08,89300.46,92948.88,92948.88,101333569062
3,2025-11-17,94180.88,95928.37,91214.76,92093.88,92093.88,94186165724
4,2025-11-16,95556.87,96564.19,92971.16,94177.08,94177.08,71086235862
5,2025-11-15,94420.47,96728.47,94420.47,95549.15,95549.15,38500716654
6,2025-11-14,99694.7,99804.43,94000.73,94397.79,94397.79,114346441890
7,2025-11-13,101674.15,104005.49,97988.72,99697.49,99697.49,101546815416
8,2025-11-12,103011.44,105297.23,100836.62,101663.19,101663.19,64347179408
9,2025-11-11,105996.86,107428.26,102457.33,102997.47,102997.47,71130078574
10,2025-11-10,104723.77,106564.7,104350.65,105996.59,105996.59,69585887229
11,2025-11-09,102278.98,105418.37,101468.88,104719.64,104719.64,59679243013
12,2025-11-08,103371.7,103373.56,101458.04,102282.12,102282.12,51446691095
13,2025-11-07,101286.24,104052.91,99257.05,103372.41,103372.41,92168030081
14,2025-11-06,103893.66,104147.3,100336.87,101301.29,101301.29,63932752861
15,2025-11-05,101579.23,104534.7,98989.91,103891.84,103891.84,77584934804
16,2025-11-04,106541.42,107264.88,98962.06,101590.52,101590.52,110967184773
17,2025-11-03,110646.91,110764.91,105336.36,106547.52,106547.52,72852006359
18,2025-11-02,110064.43,111167.31,109523.45,110639.63,110639.63,34284209459
19,2025-11-01,109558.63,110574.9,109372.95,110064.02,110064.02,25871668762
20,2025-10-31,108304.41,111031.82,108288.27,109556.16,109556.16,60090359560
21,2025-10-30,110059.2,111612.35,106376.69,108305.55,108305.55,69673964814
22,2025-10-29,112921.33,113642.73,109368.72,110055.3,110055.3,62192043469
23,2025-10-28,114129.09,116078.98,112291.68,112956.16,112956.16,64528066504
24,2025-10-27,114479.85,116273.31,113882.29,114119.33,114119.33,61761358733
25,2025-10-26,111639.05,115260.91,111268.48,114472.45,114472.45,41708524143
26,2025-10-25,111032.62,111947.7,110704.41,111641.73,111641.73,24707667305
27,2025-10-24,110069.35,111842.53,109770.15,111033.92,111033.92,48160816980
28,2025-10-23,107679.44,111288.59,107548.43,110069.73,110069.73,54944076060
29,2025-10-22,108491.53,109115.13,106778.0,107688.59,107688.59,80807013218
30,2025-10-21,110587.63,113996.34,107534.75,108476.89,108476.89,101194375480
31,2025-10-20,108667.45,111711.03,107485.02,110588.93,110588.93,63507793085
32,2025-10-19,107204.31,109488.99,106157.79,108666.71,108666.71,47657008953
33,2025-10-18,106483.73,107490.98,106387.45,107198.27,107198.27,37779905278
34,2025-10-17,108179.13,109235.8,103598.43,106467.79,106467.79,99703051669
35,2025-10-16,110782.17,111990.81,107537.03,108186.04,108186.04,87306423067
36,2025-10-15,113113.97,113622.38,110235.84,110783.16,110783.16,72574132855
37,2025-10-14,115264.88,115502.88,110029.48,113118.66,113118.66,92212917403
38,2025-10-13,115161.68,116020.48,113821.19,115271.08,115271.08,71582026739
39,2025-10-12,110811.52,115805.06,109715.54,115169.77,115169.77,93710414091
40,2025-10-11,113236.43,113429.73,109760.56,110807.88,110807.88,110236934340
41,2025-10-10,121704.74,122509.66,104582.41,113214.37,113214.37,153125018868
42,2025-10-09,123337.07,123739.34,119812.03,121705.59,121705.59,74653009425
43,2025-10-08,121448.35,124167.09,121119.18,123354.87,123354.87,65354305286
44,2025-10-07,124752.14,125184.02,120681.97,121451.38,121451.38,76149412513
45,2025-10-06,123510.45,126198.07,123196.05,124752.53,124752.53,72568881188
46,2025-10-05,122419.67,125559.21,122191.96,123513.48,123513.48,73689317763
47,2025-10-04,122267.47,122857.64,121577.57,122425.43,122425.43,36769171735
48,2025-10-03,120656.98,123944.7,119344.31,122266.53,122266.53,83941392228
49,2025-10-02,118652.38,121086.41,118383.16,120681.26,120681.26,71415163912
50,2025-10-01,114057.59,118648.93,113981.4,118648.93,118648.93,71328680132
51,2025-09-30,114396.52,114836.62,112740.56,114056.09,114056.09,58986330258
52,2025-09-29,112117.88,114473.57,111589.95,114400.38,114400.38,60000147466
53,2025-09-28,109681.95,112375.48,109236.95,112122.64,112122.64,33371048505
54,2025-09-27,109707.14,109778.5,109144.3,109681.95,109681.95,26308042910
55,2025-09-26,109041.3,110359.2,108728.98,109712.83,109712.83,57738288949
56,2025-09-25,113330.16,113541.09,108713.4,109049.29,109049.29,75528654284
57,2025-09-24,112007.66,113986.27,111229.64,113328.63,113328.63,48044595085
58,2025-09-23,112757.48,113351.91,111535.57,112014.5,112014.5,47211853279
59,2025-09-22,115309.22,115431.31,112037.65,112748.51,112748.51,70684158591
