Symbol,Name,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %
ENA-USD,Ethena USD,0.27,0.0,+0.01%,2.017B,325.808M,325.808M,325.808M,7.423B,-53.18%
JITOSOL-USD,Jito Staked SOL USD,177.63,4.39,+2.53%,2.014B,18.411M,18.411M,18.411M,11.337M,-41.07%
JLP-USD,Jupiter Perps LP USD,4.75,0.05,+1.07%,1.934B,47.252M,47.252M,47.252M,407.003M,+16.46%
ONDO-USD,Ondo USD,0.54,0.01,+0.96%,1.692B,114.969M,114.969M,114.969M,3.159B,-46.05%
BTCT9486-USD,Bitcoin TRC20 USD,91607.54,807.82,+0.89%,1.607B,184006,184006,184006,17545,-5.52%
WLD-USD,Worldcoin USD,0.68,0.01,+1.53%,1.588B,119.748M,119.748M,119.748M,2.338B,-69.42%
POL28321-USD,Polygon (prev. MATIC) USD,0.15,0.0,+1.31%,1.564B,115.984M,115.984M,115.984M,10.539B,-67.15%
KCS-USD,KuCoin Token USD,12.0,-0.07,-0.59%,1.557B,6.897M,6.897M,6.897M,129.729M,+10.00%
SYRUPUSDC-USD,syrupUSDC USD,1.14,0.0,+0.05%,1.531B,28.584M,28.584M,28.584M,1.346B,+0.58%
XAUT-USD,Tether Gold USD,4048.95,-19.43,-0.48%,1.529B,7.684B,7.684B,7.684B,377737,+51.66%
WBNB-USD,Wrapped BNB USD,903.14,-22.83,-2.47%,1.43B,679.052M,679.052M,679.052M,1.583M,+49.71%
ATOM-USD,Cosmos USD,2.97,0.28,+10.41%,1.424B,115.372M,115.372M,115.372M,478.765M,-57.07%
TRUMP35336-USD,OFFICIAL TRUMP USD,6.89,-0.19,-2.70%,1.378B,361.369M,361.369M,361.369M,199.999M,-75.16%
PAXG-USD,PAX Gold USD,4059.95,-20.07,-0.49%,1.353B,280.996M,280.996M,280.996M,333354,+52.17%
FIL-USD,Filecoin USD,1.87,0.02,+0.95%,1.346B,306.818M,306.818M,306.818M,719.661M,-56.18%
ALGO-USD,Algorand USD,0.15,-0.0,-1.68%,1.339B,70.578M,70.578M,70.578M,8.795B,-26.83%
USDTB34691-USD,Ethena Labs (USDtb) USD,1.0,-0.0,-0.01%,1.333B,1768,1768,1768,1.334B,-0.05%
RETH-USD,Rocket Pool ETH USD,3453.17,-49.58,-1.42%,1.313B,6.181M,6.181M,6.181M,380288,-4.65%
ARB11841-USD,Arbitrum USD,0.23,0.0,+0.59%,1.313B,181.032M,181.032M,181.032M,5.618B,-69.60%
